1.1,0.09011107
6.1,0.1541206
11.1,0.2005314
16.1,0.2412027
21.1,0.2770208
26.1,0.3077851
31.1,0.3359313
36.1,0.3616483
41.1,0.3858147
51.1,0.4289848
61.1,0.4646739
71.1,0.495979
81.1,0.5234998
91.1,0.5471715
101.1,0.5682389
111.1,0.5887423
121.1,0.6071897
131.1,0.6237011
141.1,0.6401957
156.1,0.6603788
171.1,0.679419
186.1,0.6969493
201.1,0.711176
216.1,0.7252076
231.1,0.7376196
246.1,0.7494165
261.1,0.7594919
276.1,0.7682492
291.1,0.7795013
306.1,0.7874777
321.1,0.7939206
336.1,0.8027945
351.1,0.8090326
366.1,0.8163333
381.1,0.8209916
396.1,0.8277703
411.1,0.8330978
426.1,0.8392339
441.1,0.8433667
461.1,0.8496974
481.1,0.8558245
501.1,0.8609888
521.1,0.8665529
541.1,0.8698035
561.1,0.8752008
581.1,0.8794846
601.1,0.8844996
621.1,0.8873011
641.1,0.8905004
661.1,0.8960476
681.1,0.9003516
701.1,0.9024134
721.1,0.9059902
741.1,0.9092655
761.1,0.9114498
781.1,0.9137375
801.1,0.9170333
821.1,0.9171366
841.1,0.9209993
